,date,rates
AED,2022-04-28,3.863003
AFN,2022-04-28,92.026309
ALL,2022-04-28,120.489527
AMD,2022-04-28,489.257678
ANG,2022-04-28,1.908157
AOA,2022-04-28,429.580603
ARS,2022-04-28,120.980159
AUD,2022-04-28,1.481532
AWG,2022-04-28,1.8935879999999998
AZN,2022-04-28,1.797143
BAM,2022-04-28,1.951611
BBD,2022-04-28,2.137758
BDT,2022-04-28,91.557672
BGN,2022-04-28,1.959328
BHD,2022-04-28,0.396584
BIF,2022-04-28,2174.173268
BMD,2022-04-28,1.051701
BND,2022-04-28,1.4593289999999999
BOB,2022-04-28,7.289641
BRL,2022-04-28,5.220012
BSD,2022-04-28,1.058811
BTC,2022-04-28,2.6746572000000002e-05
BTN,2022-04-28,81.072368
BWP,2022-04-28,12.787355999999999
BYN,2022-04-28,3.561267
BYR,2022-04-28,20613.348362
BZD,2022-04-28,2.134166
CAD,2022-04-28,1.350064
CDF,2022-04-28,2116.023248
CHF,2022-04-28,1.019382
CLF,2022-04-28,0.032281
CLP,2022-04-28,890.73843
CNY,2022-04-28,6.944912
COP,2022-04-28,4167.188195
CRC,2022-04-28,700.642024
CUC,2022-04-28,1.051701
CUP,2022-04-28,27.870088
CVE,2022-04-28,110.027145
CZK,2022-04-28,24.538718
DJF,2022-04-28,188.490731
DKK,2022-04-28,7.442312
DOP,2022-04-28,58.25462
DZD,2022-04-28,152.199066
EGP,2022-04-28,19.458262
ERN,2022-04-28,15.775524
ETB,2022-04-28,54.37487
EUR,2022-04-28,1.0
FJD,2022-04-28,2.27452
FKP,2022-04-28,0.8083819999999999
GBP,2022-04-28,0.839563
GEL,2022-04-28,3.202478
GGP,2022-04-28,0.8083819999999999
GHS,2022-04-28,7.967276
GIP,2022-04-28,0.8083819999999999
GMD,2022-04-28,56.577491
GNF,2022-04-28,9405.603696
GTQ,2022-04-28,8.109093
GYD,2022-04-28,221.51114
HKD,2022-04-28,8.252812
HNL,2022-04-28,25.987068999999998
HRK,2022-04-28,7.561526
HTG,2022-04-28,115.413086
HUF,2022-04-28,377.928992
IDR,2022-04-28,15245.148666
ILS,2022-04-28,3.490991
IMP,2022-04-28,0.8083819999999999
INR,2022-04-28,80.613074
IQD,2022-04-28,1545.250115
IRR,2022-04-28,44486.971068
ISK,2022-04-28,137.299667
JEP,2022-04-28,0.8083819999999999
JMD,2022-04-28,163.722181
JOD,2022-04-28,0.745636
JPY,2022-04-28,136.672853
KES,2022-04-28,121.784283
KGS,2022-04-28,88.479854
KHR,2022-04-28,4281.806505
KMF,2022-04-28,485.886148
KPW,2022-04-28,946.531428
KRW,2022-04-28,1339.157699
KWD,2022-04-28,0.322304
KYD,2022-04-28,0.882384
KZT,2022-04-28,473.226985
LAK,2022-04-28,12747.122251
LBP,2022-04-28,1600.82414
LKR,2022-04-28,375.862093
LRD,2022-04-28,159.80559
LSL,2022-04-28,15.586019
LTL,2022-04-28,3.105401
LVL,2022-04-28,0.636164
LYD,2022-04-28,5.025788
MAD,2022-04-28,10.529138
MDL,2022-04-28,19.571305
