,date,rates
ALL,2022-06-10,120.01282
AMD,2022-06-10,443.800943
ANG,2022-06-10,1.896407
AOA,2022-06-10,458.395507
ARS,2022-06-10,128.089926
AUD,2022-06-10,1.487654
AWG,2022-06-10,1.893738
AZN,2022-06-10,1.792209
BAM,2022-06-10,1.9427240000000001
BBD,2022-06-10,2.124568
BDT,2022-06-10,97.842649
BGN,2022-06-10,1.955336
BHD,2022-06-10,0.39639399999999997
BIF,2022-06-10,2136.174554
BMD,2022-06-10,1.051785
BND,2022-06-10,1.453395
BOB,2022-06-10,7.244727
BRL,2022-06-10,5.243603
BSD,2022-06-10,1.052202
BTC,2022-06-10,3.6179982e-05
BTN,2022-06-10,81.86126
BWP,2022-06-10,12.700621
BYN,2022-06-10,3.551938
BYR,2022-06-10,20614.978465
BZD,2022-06-10,2.120992
CAD,2022-06-10,1.342524
CDF,2022-06-10,2108.828535
CHF,2022-06-10,1.038969
CLF,2022-06-10,0.032195
CLP,2022-06-10,888.369256
CNY,2022-06-10,7.056322
COP,2022-06-10,4137.478767
CRC,2022-06-10,722.486078
CUC,2022-06-10,1.051785
CUP,2022-06-10,27.872292
CVE,2022-06-10,110.721781
CZK,2022-06-10,24.701204
DJF,2022-06-10,186.923576
DKK,2022-06-10,7.437804
DOP,2022-06-10,58.006335
DZD,2022-06-10,154.105421
EGP,2022-06-10,19.676712
ERN,2022-06-10,15.77677
ETB,2022-06-10,54.388195
EUR,2022-06-10,1.0
FJD,2022-06-10,2.297361
FKP,2022-06-10,0.8607079999999999
GBP,2022-06-10,0.8537039999999999
GEL,2022-06-10,3.065994
GGP,2022-06-10,0.8607079999999999
GHS,2022-06-10,8.335435
GIP,2022-06-10,0.8607079999999999
GMD,2022-06-10,56.849368
GNF,2022-06-10,9288.839882
GTQ,2022-06-10,8.128564
GYD,2022-06-10,220.264089
HKD,2022-06-10,8.255858
HNL,2022-06-10,25.816095
HRK,2022-06-10,7.522157
HTG,2022-06-10,120.482222
HUF,2022-06-10,398.074224
IDR,2022-06-10,15371.779567
ILS,2022-06-10,3.565449
IMP,2022-06-10,0.8607079999999999
INR,2022-06-10,82.226212
IQD,2022-06-10,1536.131431
IRR,2022-06-10,44543.078839
ISK,2022-06-10,138.688725
JEP,2022-06-10,0.8607079999999999
JMD,2022-06-10,161.387274
JOD,2022-06-10,0.745757
JPY,2022-06-10,141.386189
KES,2022-06-10,123.216972
KGS,2022-06-10,83.626978
KHR,2022-06-10,4271.297693
KMF,2022-06-10,492.49855
KPW,2022-06-10,946.606388
KRW,2022-06-10,1345.790373
KWD,2022-06-10,0.322635
KYD,2022-06-10,0.876884
KZT,2022-06-10,459.047609
LAK,2022-06-10,15237.733595
LBP,2022-06-10,1602.476561
LKR,2022-06-10,377.2286
LRD,2022-06-10,159.871628
LSL,2022-06-10,16.681705
LTL,2022-06-10,3.105647
LVL,2022-06-10,0.636214
LYD,2022-06-10,5.027931
MAD,2022-06-10,10.47315
