,date,rates
AED,2022-06-16,3.889775
AFN,2022-06-16,94.630129
ALL,2022-06-16,121.982474
AMD,2022-06-16,452.74923
ANG,2022-06-16,1.909403
AOA,2022-06-16,459.61618
ARS,2022-06-16,130.157728
AUD,2022-06-16,1.4994
AWG,2022-06-16,1.90618
AZN,2022-06-16,1.796238
BAM,2022-06-16,1.9915889999999998
BBD,2022-06-16,2.13931
BDT,2022-06-16,98.479876
BGN,2022-06-16,1.963916
BHD,2022-06-16,0.399252
BIF,2022-06-16,2179.641523
BMD,2022-06-16,1.058989
BND,2022-06-16,1.472907
BOB,2022-06-16,7.284071
BRL,2022-06-16,5.3516
BSD,2022-06-16,1.059473
BTC,2022-06-16,5.0075148e-05
BTN,2022-06-16,82.66904099999999
BWP,2022-06-16,12.968535
BYN,2022-06-16,3.575668
BYR,2022-06-16,20756.183008
BZD,2022-06-16,2.135521
CAD,2022-06-16,1.366085
CDF,2022-06-16,2123.273383
CHF,2022-06-16,1.020987
CLF,2022-06-16,0.033219
CLP,2022-06-16,916.618523
CNY,2022-06-16,7.098511
COP,2022-06-16,4129.887385
CRC,2022-06-16,724.290286
CUC,2022-06-16,1.058989
CUP,2022-06-16,28.063207
CVE,2022-06-16,112.285301
CZK,2022-06-16,24.743302
DJF,2022-06-16,188.203504
DKK,2022-06-16,7.438169
DOP,2022-06-16,58.079318
DZD,2022-06-16,154.595723
EGP,2022-06-16,19.84725
ERN,2022-06-16,15.884835
ETB,2022-06-16,55.156295
EUR,2022-06-16,1.0
FJD,2022-06-16,2.300232
FKP,2022-06-16,0.869535
GBP,2022-06-16,0.854985
GEL,2022-06-16,3.113341
GGP,2022-06-16,0.869535
GHS,2022-06-16,8.423867
GIP,2022-06-16,0.869535
GMD,2022-06-16,57.344513
GNF,2022-06-16,9208.484268
GTQ,2022-06-16,8.194965
GYD,2022-06-16,221.669565
HKD,2022-06-16,8.312587
HNL,2022-06-16,26.028885
HRK,2022-06-16,7.525131
HTG,2022-06-16,119.609265
HUF,2022-06-16,398.926409
IDR,2022-06-16,15688.656236
ILS,2022-06-16,3.668163
IMP,2022-06-16,0.869535
INR,2022-06-16,82.511973
IQD,2022-06-16,1546.287255
IRR,2022-06-16,44742.28215
ISK,2022-06-16,137.700037
JEP,2022-06-16,0.869535
JMD,2022-06-16,161.79064
JOD,2022-06-16,0.750838
JPY,2022-06-16,139.827815
KES,2022-06-16,124.335598
KGS,2022-06-16,84.190691
KHR,2022-06-16,4304.581396
KMF,2022-06-16,499.440817
KPW,2022-06-16,953.089871
KRW,2022-06-16,1362.124727
KWD,2022-06-16,0.32459099999999996
KYD,2022-06-16,0.882911
KZT,2022-06-16,470.943482
LAK,2022-06-16,15613.708861
LBP,2022-06-16,1601.97232
LKR,2022-06-16,381.406662
LRD,2022-06-16,160.966587
LSL,2022-06-16,17.039477
LTL,2022-06-16,3.126919
LVL,2022-06-16,0.6405719999999999
LYD,2022-06-16,5.117796
MAD,2022-06-16,10.741155
MDL,2022-06-16,20.369554
MGA,2022-06-16,4298.974225
MKD,2022-06-16,62.759199
MMK,2022-06-16,1961.670141
MNT,2022-06-16,3301.064614
MOP,2022-06-16,8.566341
MRO,2022-06-16,378.058866
MUR,2022-06-16,47.231137
MVR,2022-06-16,16.266156
MWK,2022-06-16,1082.23499
MXN,2022-06-16,21.557199
MYR,2022-06-16,4.662202
MZN,2022-06-16,67.595086
NAD,2022-06-16,17.039192
NGN,2022-06-16,439.787249
NIO,2022-06-16,37.981361
NOK,2022-06-16,10.498747
NPR,2022-06-16,132.268868
