,date,rates
AFN,2022-05-01,90.606329
ALL,2022-05-01,120.896671
AMD,2022-05-01,477.538301
ANG,2022-05-01,1.898725
AOA,2022-05-01,427.343493
ARS,2022-05-01,121.570043
AUD,2022-05-01,1.491234
AWG,2022-05-01,1.89694
AZN,2022-05-01,1.793321
BAM,2022-05-01,1.950411
BBD,2022-05-01,2.12719
BDT,2022-05-01,91.305715
BGN,2022-05-01,1.951253
BHD,2022-05-01,0.39707699999999996
BIF,2022-05-01,2125.036104
BMD,2022-05-01,1.053563
BND,2022-05-01,1.453561
BOB,2022-05-01,7.253646
BRL,2022-05-01,5.239156
BSD,2022-05-01,1.053573
BTC,2022-05-01,2.7400175e-05
BTN,2022-05-01,80.497545
BWP,2022-05-01,12.754961
BYN,2022-05-01,3.5468450000000002
BYR,2022-05-01,20649.830261
BZD,2022-05-01,2.1236
CAD,2022-05-01,1.354408
CDF,2022-05-01,2120.821652
CHF,2022-05-01,1.026418
CLF,2022-05-01,0.032551
CLP,2022-05-01,898.172948
CNY,2022-05-01,6.962471
COP,2022-05-01,4170.001437
CRC,2022-05-01,697.143049
CUC,2022-05-01,1.053563
CUP,2022-05-01,27.919413
CVE,2022-05-01,110.360726
CZK,2022-05-01,24.590784
DJF,2022-05-01,187.238932
DKK,2022-05-01,7.4384689999999996
DOP,2022-05-01,57.998661
DZD,2022-05-01,152.471941
EGP,2022-05-01,19.487331
ERN,2022-05-01,15.803444
ETB,2022-05-01,54.126782
EUR,2022-05-01,1.0
FJD,2022-05-01,2.264798
FKP,2022-05-01,0.809813
GBP,2022-05-01,0.837951
GEL,2022-05-01,3.208096
GGP,2022-05-01,0.809813
GHS,2022-05-01,7.953948
GIP,2022-05-01,0.809813
GMD,2022-05-01,56.993023
GNF,2022-05-01,9266.084371
GTQ,2022-05-01,8.070178
GYD,2022-05-01,220.457478
HKD,2022-05-01,8.267571
HNL,2022-05-01,25.828091
HRK,2022-05-01,7.557735
HTG,2022-05-01,114.836936
HUF,2022-05-01,378.15265
IDR,2022-05-01,15273.499454
ILS,2022-05-01,3.520401
IMP,2022-05-01,0.809813
INR,2022-05-01,80.622153
IQD,2022-05-01,1538.201642
IRR,2022-05-01,44513.027005
ISK,2022-05-01,137.795498
JEP,2022-05-01,0.809813
JMD,2022-05-01,162.994135
JOD,2022-05-01,0.7472949999999999
JPY,2022-05-01,136.978434
KES,2022-05-01,121.997846
KGS,2022-05-01,86.498975
KHR,2022-05-01,4264.8221
KMF,2022-05-01,490.6967
KPW,2022-05-01,948.206617
KRW,2022-05-01,1331.208243
KWD,2022-05-01,0.323129
KYD,2022-05-01,0.877961
KZT,2022-05-01,468.672284
LAK,2022-05-01,13051.004517
LBP,2022-05-01,1594.533005
LKR,2022-05-01,368.741883
LRD,2022-05-01,159.616499
LSL,2022-05-01,16.730355
LTL,2022-05-01,3.110897
LVL,2022-05-01,0.637289
LYD,2022-05-01,5.041281
MAD,2022-05-01,10.509306
MDL,2022-05-01,19.60822
MGA,2022-05-01,4214.250673
MKD,2022-05-01,61.573667
MMK,2022-05-01,1950.643808
MNT,2022-05-01,3155.276362
MOP,2022-05-01,8.515740000000001
MRO,2022-05-01,376.121727
MUR,2022-05-01,45.627822
MVR,2022-05-01,16.277393
MWK,2022-05-01,857.094341
MXN,2022-05-01,21.51756
MYR,2022-05-01,4.586685
MZN,2022-05-01,67.248894
NAD,2022-05-01,16.730635
NGN,2022-05-01,437.502368
NIO,2022-05-01,37.680706
NOK,2022-05-01,9.89397
NPR,2022-05-01,128.796151
NZD,2022-05-01,1.632053
OMR,2022-05-01,0.40555
PAB,2022-05-01,1.053573
PEN,2022-05-01,4.04305
PGK,2022-05-01,3.678936
PHP,2022-05-01,55.143577
PKR,2022-05-01,195.650017
PLN,2022-05-01,4.679136
PYG,2022-05-01,7208.372171
QAR,2022-05-01,3.836001
RON,2022-05-01,4.94258
RSD,2022-05-01,117.479413
RUB,2022-05-01,77.278302
RWF,2022-05-01,1078.848275
SAR,2022-05-01,3.952123
SBD,2022-05-01,8.465786
SCR,2022-05-01,14.174467
SDG,2022-05-01,471.467758
SEK,2022-05-01,10.349888
SGD,2022-05-01,1.457883
SHP,2022-05-01,1.451176
SLL,2022-05-01,14852.603204
SOS,2022-05-01,610.013114
SRD,2022-05-01,21.936198
STD,2022-05-01,21806.622172
SVC,2022-05-01,9.218388
SYP,2022-05-01,2647.023242
SZL,2022-05-01,16.593758
THB,2022-05-01,36.085052
TJS,2022-05-01,13.122066
TMT,2022-05-01,3.6874700000000002
TND,2022-05-01,3.215999
TOP,2022-05-01,2.436367
TRY,2022-05-01,15.65584
TTD,2022-05-01,7.159508
TWD,2022-05-01,31.026353
TZS,2022-05-01,2449.533568
UAH,2022-05-01,31.869852
UGX,2022-05-01,3745.393753
USD,2022-05-01,1.053563
UYU,2022-05-01,43.67964
UZS,2022-05-01,11773.564277
VEF,2022-05-01,225283561020.1334
VND,2022-05-01,24193.488633
VUV,2022-05-01,118.611836
WST,2022-05-01,2.723925
XAF,2022-05-01,654.139531
XAG,2022-05-01,0.046221
XAU,2022-05-01,0.0005549999999999999
XCD,2022-05-01,2.847306
XDR,2022-05-01,0.786315
XOF,2022-05-01,653.737429
XPF,2022-05-01,119.395015
YER,2022-05-01,263.704313
ZAR,2022-05-01,16.655878
ZMK,2022-05-01,9483.329389
ZMW,2022-05-01,17.936665
ZWL,2022-05-01,339.246782
AED,2022-04-01,4.058143
AFN,2022-04-01,97.226792
ALL,2022-04-01,121.09545
AMD,2022-04-01,535.607341
ANG,2022-04-01,1.992518
AOA,2022-04-01,491.185532
ARS,2022-04-01,122.862632
AUD,2022-04-01,1.4731269999999999
AWG,2022-04-01,1.988722
AZN,2022-04-01,1.882623
BAM,2022-04-01,1.953868
BBD,2022-04-01,2.232287
BDT,2022-04-01,95.329031
BGN,2022-04-01,1.9561229999999998
BHD,2022-04-01,0.41694699999999996
BIF,2022-04-01,2221.843861
BMD,2022-04-01,1.104845
BND,2022-04-01,1.498986
BOB,2022-04-01,7.6119129999999995
BRL,2022-04-01,5.14735
