,date,rates
BYN,2022-04-22,3.6291089999999997
BYN,2022-04-20,3.596547
BYN,2022-04-25,3.60266
BYN,2022-04-21,3.610107
BYN,2022-04-24,3.64499
BYN,2022-04-23,3.64117
BYR,2022-04-24,21188.959149
BYR,2022-04-22,21166.754298
BYR,2022-04-25,20999.178671
BYR,2022-04-23,21166.754298
BYR,2022-04-20,21265.046942
BYR,2022-04-26,20868.151543
BYR,2022-04-21,21236.248125
BZD,2022-04-22,2.175539
BZD,2022-04-20,2.187805
BZD,2022-04-24,2.18505
BZD,2022-04-21,2.196057
BZD,2022-04-26,2.14824
BZD,2022-04-25,2.159598
BZD,2022-04-23,2.18276
CAD,2022-04-24,1.375299
CAD,2022-04-26,1.363845
CAD,2022-04-21,1.364088
CAD,2022-04-23,1.3754119999999999
CAD,2022-04-25,1.364534
CAD,2022-04-20,1.354849
CAD,2022-04-22,1.373144
CDF,2022-04-20,2182.922209
CDF,2022-04-24,2175.111431
CDF,2022-04-22,2172.832516
CDF,2022-04-23,2172.832516
CDF,2022-04-25,2157.772535
CDF,2022-04-21,2182.132412
CDF,2022-04-26,2142.179441
CHF,2022-04-24,1.033285
CHF,2022-04-23,1.034029
CHF,2022-04-26,1.021793
CHF,2022-04-21,1.033371
CHF,2022-04-20,1.029835
CHF,2022-04-25,1.0267789999999999
CHF,2022-04-22,1.03415
CLF,2022-04-24,0.032803
CLF,2022-04-26,0.032794
CLF,2022-04-20,0.032062
CLF,2022-04-25,0.032806
CLF,2022-04-21,0.032389
CLF,2022-04-22,0.032768
CLF,2022-04-23,0.03237
CLP,2022-04-22,904.177215
CLP,2022-04-25,905.225134
CLP,2022-04-20,884.70202
CLP,2022-04-21,893.709745
CLP,2022-04-26,904.847882
CLP,2022-04-24,905.125462
CLP,2022-04-23,893.192849
CNY,2022-04-25,7.027654
CNY,2022-04-23,7.021427
CNY,2022-04-24,7.028354
CNY,2022-04-20,6.964516
CNY,2022-04-21,6.98878
CNY,2022-04-26,6.980925
CNY,2022-04-22,7.021427
COP,2022-04-23,4086.692473
COP,2022-04-26,4199.1725
COP,2022-04-20,4077.898236
COP,2022-04-21,4091.358228
COP,2022-04-24,4168.614202
COP,2022-04-25,4217.513614
COP,2022-04-22,4148.035881
CRC,2022-04-24,712.842094
CRC,2022-04-20,708.494388
CRC,2022-04-21,711.180838
CRC,2022-04-22,709.742799
CRC,2022-04-26,705.259542
CRC,2022-04-25,704.556772
CRC,2022-04-23,712.095075
CUC,2022-04-23,1.079936
CUC,2022-04-26,1.064702
CUC,2022-04-20,1.084951
CUC,2022-04-24,1.081069
CUC,2022-04-21,1.083482
CUC,2022-04-25,1.071387
CUC,2022-04-22,1.079936
CUP,2022-04-21,28.712274
CUP,2022-04-24,28.648338
CUP,2022-04-22,28.618316
CUP,2022-04-26,28.214593
CUP,2022-04-23,28.618316
CUP,2022-04-25,28.391747
CUP,2022-04-20,28.751211
CVE,2022-04-21,110.239263
CVE,2022-04-24,110.510268
CVE,2022-04-26,109.185005
CVE,2022-04-22,109.797564
CVE,2022-04-20,110.577667
CVE,2022-04-25,109.386066
CVE,2022-04-23,110.39446
CZK,2022-04-20,24.381055
CZK,2022-04-21,24.364474
CZK,2022-04-24,24.338977
CZK,2022-04-25,24.374142
CZK,2022-04-26,24.512593
CZK,2022-04-22,24.341066
CZK,2022-04-23,24.339122
DJF,2022-04-23,192.776069
DJF,2022-04-24,192.978299
DJF,2022-04-22,191.92673
DJF,2022-04-21,193.962032
DJF,2022-04-20,192.817622
DJF,2022-04-26,189.737651
DJF,2022-04-25,190.407224
DKK,2022-04-22,7.439726
DKK,2022-04-24,7.438948
DKK,2022-04-23,7.439579
DKK,2022-04-21,7.440109
DKK,2022-04-26,7.440806
DKK,2022-04-25,7.438627
DKK,2022-04-20,7.439947
DOP,2022-04-21,59.932902
DOP,2022-04-25,59.076873
DOP,2022-04-22,59.558919
DOP,2022-04-23,59.535818
DOP,2022-04-26,58.71838
DOP,2022-04-20,59.726198
DOP,2022-04-24,59.598273
DZD,2022-04-22,155.516374
DZD,2022-04-24,155.679518
DZD,2022-04-23,155.516374
DZD,2022-04-21,155.429597
DZD,2022-04-26,153.920695
DZD,2022-04-20,155.657771
DZD,2022-04-25,154.586212
EGP,2022-04-21,20.131503
EGP,2022-04-24,20.058049
EGP,2022-04-26,19.69977
EGP,2022-04-20,20.059665
EGP,2022-04-25,19.880938
EGP,2022-04-22,20.080549
EGP,2022-04-23,20.080549
ERN,2022-04-21,16.252233
ERN,2022-04-24,16.216042
ERN,2022-04-23,16.199049
ERN,2022-04-20,16.274273
ERN,2022-04-25,16.070802
ERN,2022-04-22,16.199049
ERN,2022-04-26,15.970526
ETB,2022-04-25,54.929737
ETB,2022-04-20,55.641122
ETB,2022-04-21,56.133518
ETB,2022-04-26,54.615694
ETB,2022-04-22,55.404926
ETB,2022-04-24,55.849854
ETB,2022-04-23,55.791327
EUR,2022-04-21,1.0
EUR,2022-04-25,1.0
EUR,2022-04-24,1.0
EUR,2022-04-23,1.0
EUR,2022-04-26,1.0
EUR,2022-04-20,1.0
EUR,2022-04-22,1.0
FJD,2022-04-23,2.290982
FJD,2022-04-22,2.316507
FJD,2022-04-21,2.295573
FJD,2022-04-24,2.293381
FJD,2022-04-25,2.308627
FJD,2022-04-26,2.284814
FJD,2022-04-20,2.287514
FKP,2022-04-23,0.830085
FKP,2022-04-22,0.830085
FKP,2022-04-24,0.830955
FKP,2022-04-20,0.833939
FKP,2022-04-25,0.8235129999999999
FKP,2022-04-26,0.8183739999999999
FKP,2022-04-21,0.83281
GBP,2022-04-24,0.842591
GBP,2022-04-23,0.841105
GBP,2022-04-20,0.8302149999999999
GBP,2022-04-22,0.841105
GBP,2022-04-25,0.840996
GBP,2022-04-26,0.843212
GBP,2022-04-21,0.831811
GEL,2022-04-22,3.27765
GEL,2022-04-23,3.27765
GEL,2022-04-26,3.231414
GEL,2022-04-21,3.293822
GEL,2022-04-25,3.246463
GEL,2022-04-24,3.281027
GEL,2022-04-20,3.2928
GGP,2022-04-20,0.833939
GGP,2022-04-22,0.830085
GGP,2022-04-26,0.8183739999999999
GGP,2022-04-25,0.8235129999999999
GGP,2022-04-23,0.830085
GGP,2022-04-21,0.83281
GGP,2022-04-24,0.830955
GHS,2022-04-24,8.157004
GHS,2022-04-22,8.126565
GHS,2022-04-25,8.062149
GHS,2022-04-20,8.164225
GHS,2022-04-21,8.198586
GHS,2022-04-23,8.148456
GHS,2022-04-26,8.011835
GIP,2022-04-25,0.8235129999999999
GIP,2022-04-21,0.83281
GIP,2022-04-23,0.830085
GIP,2022-04-20,0.833939
GIP,2022-04-26,0.8183739999999999
GIP,2022-04-24,0.830955
GIP,2022-04-22,0.830085
GMD,2022-04-25,57.667356
GMD,2022-04-21,58.345623
GMD,2022-04-23,58.181619
GMD,2022-04-26,57.360796
GMD,2022-04-22,58.181619
GMD,2022-04-24,58.242633
GMD,2022-04-20,58.498332
GNF,2022-04-20,9612.668961
GNF,2022-04-23,9625.48783
GNF,2022-04-22,9579.03664
GNF,2022-04-25,9460.344482
GNF,2022-04-24,9635.585388
GNF,2022-04-21,9696.36778
GNF,2022-04-26,9443.903683
GTQ,2022-04-22,8.267342
GTQ,2022-04-24,8.303329
GTQ,2022-04-25,8.205792
GTQ,2022-04-20,8.316601
GTQ,2022-04-26,8.162696
GTQ,2022-04-23,8.294627
GTQ,2022-04-21,8.347174
GYD,2022-04-21,227.946783
GYD,2022-04-25,224.152178
GYD,2022-04-23,226.545671
GYD,2022-04-22,225.800448
GYD,2022-04-26,222.976872
GYD,2022-04-20,227.071456
GYD,2022-04-24,226.783327
HKD,2022-04-22,8.473867
HKD,2022-04-23,8.473867
HKD,2022-04-25,8.407385
HKD,2022-04-24,8.482616
HKD,2022-04-21,8.499755
HKD,2022-04-26,8.353893
HKD,2022-04-20,8.510521
HNL,2022-04-24,26.605048
HNL,2022-04-23,26.577167
HNL,2022-04-26,26.037249
HNL,2022-04-20,26.537546
HNL,2022-04-25,26.184521
HNL,2022-04-21,26.739387
HNL,2022-04-22,26.409889
HRK,2022-04-23,7.567158
HRK,2022-04-26,7.563536
HRK,2022-04-20,7.562545
HRK,2022-04-22,7.567158
HRK,2022-04-24,7.575024
HRK,2022-04-21,7.562624
HRK,2022-04-25,7.563776
HTG,2022-04-23,118.031416
HTG,2022-04-21,119.297845
HTG,2022-04-26,116.168838
HTG,2022-04-22,117.643151
HTG,2022-04-20,118.304539
HTG,2022-04-24,118.155236
HTG,2022-04-25,116.781726
HUF,2022-04-21,370.745332
HUF,2022-04-22,371.875078
HUF,2022-04-26,376.767049
HUF,2022-04-24,371.178135
HUF,2022-04-20,370.857878
HUF,2022-04-23,372.00251
HUF,2022-04-25,372.478478
IDR,2022-04-21,15586.972731
IDR,2022-04-24,15520.912576
IDR,2022-04-23,15626.680342
IDR,2022-04-22,15626.680342
IDR,2022-04-20,15571.222128
IDR,2022-04-25,15515.286016
IDR,2022-04-26,15349.217516
ILS,2022-04-25,3.529957
ILS,2022-04-23,3.530086
ILS,2022-04-26,3.504055
ILS,2022-04-20,3.492735
ILS,2022-04-24,3.5339400000000003
ILS,2022-04-22,3.530086
ILS,2022-04-21,3.513954
IMP,2022-04-26,0.8183739999999999
IMP,2022-04-25,0.8235129999999999
IMP,2022-04-23,0.830085
IMP,2022-04-22,0.830085
IMP,2022-04-20,0.833939
IMP,2022-04-21,0.83281
IMP,2022-04-24,0.830955
INR,2022-04-25,81.991132
INR,2022-04-22,82.575941
INR,2022-04-21,82.653915
INR,2022-04-20,82.756239
INR,2022-04-26,81.620557
INR,2022-04-24,82.662616
INR,2022-04-23,82.588684
IQD,2022-04-20,1584.029007
IQD,2022-04-25,1564.760227
IQD,2022-04-26,1554.46435
IQD,2022-04-22,1576.707208
IQD,2022-04-21,1590.116753
IQD,2022-04-24,1582.101344
IQD,2022-04-23,1580.443389
IRR,2022-04-24,45783.286726
IRR,2022-04-23,45735.308775
IRR,2022-04-25,45373.225433
IRR,2022-04-21,45777.116463
IRR,2022-04-22,45735.308775
IRR,2022-04-26,45090.112736
IRR,2022-04-20,45947.691092
ISK,2022-04-21,139.000069
ISK,2022-04-26,138.07029
ISK,2022-04-23,139.215024
ISK,2022-04-20,138.99336
ISK,2022-04-22,139.215024
ISK,2022-04-24,139.198604
ISK,2022-04-25,138.60509
JEP,2022-04-22,0.830085
JEP,2022-04-24,0.830955
JEP,2022-04-23,0.830085
JEP,2022-04-21,0.83281
JEP,2022-04-25,0.8235129999999999
JEP,2022-04-26,0.8183739999999999
JEP,2022-04-20,0.833939
JMD,2022-04-26,164.815709
JMD,2022-04-22,167.171962
JMD,2022-04-25,165.64742
JMD,2022-04-23,167.72369
JMD,2022-04-20,167.991697
JMD,2022-04-24,167.899639
JMD,2022-04-21,168.675285
JOD,2022-04-26,0.754884
JOD,2022-04-25,0.7599300000000001
JOD,2022-04-21,0.768215
JOD,2022-04-23,0.765718
JOD,2022-04-22,0.765718
JOD,2022-04-24,0.7664829999999999
JOD,2022-04-20,0.769216
JPY,2022-04-23,138.740558
JPY,2022-04-25,136.866969
JPY,2022-04-22,138.740558
JPY,2022-04-24,139.034704
JPY,2022-04-20,138.891676
JPY,2022-04-21,139.129386
JPY,2022-04-26,135.431673
KES,2022-04-20,125.365877
KES,2022-04-25,123.962864
KES,2022-04-21,125.997828
KES,2022-04-24,125.073074
KES,2022-04-23,125.286324
KES,2022-04-26,123.36655
KES,2022-04-22,124.952754
KGS,2022-04-26,89.645207
KGS,2022-04-24,87.420778
KGS,2022-04-20,89.570871
KGS,2022-04-21,87.073062
KGS,2022-04-23,87.329173
KGS,2022-04-25,89.021409
KGS,2022-04-22,87.329173
KHR,2022-04-21,4406.949119
KHR,2022-04-23,4377.934013
KHR,2022-04-22,4362.943612
KHR,2022-04-24,4382.526657
KHR,2022-04-25,4328.402384
KHR,2022-04-20,4388.628199
KHR,2022-04-26,4301.394709
KMF,2022-04-22,492.887093
KMF,2022-04-20,492.11706
KMF,2022-04-23,492.887093
KMF,2022-04-24,493.396865
KMF,2022-04-25,492.410696
KMF,2022-04-26,485.933596
KMF,2022-04-21,491.900748
KPW,2022-04-26,958.231575
KPW,2022-04-25,964.248128
KPW,2022-04-23,971.942928
KPW,2022-04-22,971.942928
KPW,2022-04-24,972.962539
KPW,2022-04-21,975.133971
KPW,2022-04-20,976.456366
KRW,2022-04-23,1343.95972
KRW,2022-04-24,1345.023473
KRW,2022-04-21,1346.26952
KRW,2022-04-22,1343.365755
KRW,2022-04-20,1339.052388
KRW,2022-04-26,1342.221383
KRW,2022-04-25,1339.45807
KWD,2022-04-20,0.33129000000000003
KWD,2022-04-24,0.33037099999999997
KWD,2022-04-23,0.33003299999999997
KWD,2022-04-22,0.33003299999999997
KWD,2022-04-21,0.330789
KWD,2022-04-25,0.327522
KWD,2022-04-26,0.325501
KYD,2022-04-25,0.892872
KYD,2022-04-26,0.88814
KYD,2022-04-22,0.89939
KYD,2022-04-24,0.9033049999999999
KYD,2022-04-23,0.902358
KYD,2022-04-21,0.907975
KYD,2022-04-20,0.9044679999999999
KZT,2022-04-24,481.348313
KZT,2022-04-22,479.251078
KZT,2022-04-23,480.843887
KZT,2022-04-26,481.036822
KZT,2022-04-25,481.550274
KZT,2022-04-21,482.810598
KZT,2022-04-20,480.769047
LAK,2022-04-22,12959.237702
LAK,2022-04-20,12932.620161
LAK,2022-04-21,13001.484641
LAK,2022-04-23,12986.629448
LAK,2022-04-25,12891.458032
LAK,2022-04-24,13000.25299
LAK,2022-04-26,12776.419065
LBP,2022-04-21,1647.292613
LBP,2022-04-24,1639.238154
LBP,2022-04-23,1637.520324
LBP,2022-04-22,1635.130884
LBP,2022-04-26,1614.613147
LBP,2022-04-25,1625.293956
LBP,2022-04-20,1644.434051
